Low voted user	Top Voted user	Weight
2772605	2266713	1
1198939	1428241	2
808891	950669	2
114696	33560	2
34088	33560	2
7137890	1959054	1
1328888	1959054	1
8964633	1179077	1
7069608	438581	1
6928258	8325653	1
8420023	3527465	1
4659098	3527465	1
8061998	2801559	1
7043325	7043325	1
5835777	2354493	1
8086411	2354493	1
4332480	4315422	1
8033577	4315422	1
7099639	1336174	1
7099639	1336174	1
6749771	7011496	1
7809774	3132019	1
194533	3132019	1
7773896	6554121	1
6808999	6554121	1
7645429	6554121	1
5844782	6554121	1
7814912	383904	1
3042018	7692672	1
7725231	3275665	1
7298899	5273689	1
705725	8093451	1
4189897	7650542	1
3849536	7650542	1
5872371	7650542	1
5524992	6558959	1
7289427	6558959	1
4731885	2159528	1
6386166	1278987	1
6166930	1278987	1
4282529	2158878	1
4555964	2158878	1
1636876	3914724	1
6401008	1087910	1
5619896	5200704	1
768795	5200704	1
2801559	1927618	1
6330628	1927618	1
1052826	1927618	1
6461911	1447509	1
6374028	2065039	1
5010192	2065039	1
5331601	5340535	1
3732711	3971928	1
5061865	1918890	1
5889751	4050852	1
568503	1799096	1
4864334	4912716	1
580950	336441	1
3914509	5539577	1
3002426	5539577	1
2308024	2232458	1
1243086	2232458	1
3967113	2851301	1
629127	2991619	1
3422159	3258604	1
4635579	4941993	1
1828235	4941993	1
1721367	2991619	1
2057387	4114907	1
4844421	4114907	1
5037740	421163	1
611293	421163	1
4933137	421163	1
3973105	421163	1
3740894	557748	1
4837417	4157279	1
2500177	1143572	1
4289616	2992220	1
4637160	201078	2
4637160	201078	2
238310	201078	2
1143622	201078	3
1143622	4637160	1
1143622	238310	1
1143622	519413	1
519413	201078	2
4429401	2476755	1
3113558	1585362	1
1269907	1585362	1
2936448	2173853	1
2279078	114251	1
2089267	3943125	1
3077601	3577767	1
3330034	242076	1
3817050	1433150	1
3817050	1433150	1
1379292	2540625	1
2064800	2064800	1
1218380	2594702	1
1613047	3637307	1
